Organization Name,Type,Full-Time Employees,Part-Time Employees,Volunteers,City,Region,Planned Projects,Executed Projects,Rating (out of 100),Supervising Ministry,Target Group,Main Activity Area,Founded Year,Accreditation Status,Number of Beneficiaries,Workshops Conducted,Training Sessions Conducted,Volunteer Hours Contributed,Staff Retention Rate (%),Digital Presence
Initiative Growth Mission,Health,40,5,59,Medina,Eastern,17,12,79,Ministry of Municipal and Rural Affairs,Families,Training,2015,Pending,4565,61,74,7542,71,Yes
Association Unity Mission,Technology,46,9,94,Abha,Eastern,6,1,79,Ministry of Communications and Information Technology,Disabled,Training,1993,Unaccredited,4938,71,70,1623,80,Yes
Society Unity for Development,Educational,11,29,209,Hail,Southern,15,18,60,Ministry of Economy and Planning,Families,Community Engagement,2009,Pending,2985,40,84,1137,99,Yes
Association Prosperity for Youth,Cultural,45,23,102,Hail,Eastern,12,2,74,Ministry of Human Resources and Social Development,Elderly,Awareness,2012,Accredited,5306,80,82,6230,72,Yes
Association Hope Group,Youth,33,29,273,Abha,Eastern,7,12,77,Ministry of Education,Job Seekers,Research,2011,Unaccredited,7727,17,27,7673,64,Yes
Foundation Harmony Group,Youth,23,28,157,Makkah,Northern,14,15,77,Ministry of Communications and Information Technology,Refugees,Community Engagement,2016,Unaccredited,5537,67,52,8875,70,Yes
Foundation Growth for Change,Social Services,38,6,109,Jeddah,Western,16,17,62,Ministry of Human Resources and Social Development,Families,Advocacy,1997,Accredited,9189,33,26,2105,99,No
Foundation Hope Group,Educational,15,29,274,Riyadh,Eastern,19,5,70,"Ministry of Environment, Water and Agriculture",Orphans,Advocacy,2000,Pending,9061,72,32,8147,63,Yes
Association Unity Initiative,Technology,13,2,233,Abha,Western,17,16,79,Ministry of Human Resources and Social Development,Elderly,Community Engagement,1999,Unaccredited,2382,85,61,2873,79,No
Center Innovation for Communities,Youth,7,17,286,Dammam,Southern,1,6,78,Ministry of Culture,Orphans,Research,2011,Accredited,1273,48,4,8841,80,Yes
Initiative Growth for Change,Cultural,43,13,259,Dammam,Southern,12,2,97,"Ministry of Environment, Water and Agriculture",Patients,Capacity Building,2010,Accredited,4651,31,63,2389,99,Yes
Initiative Prosperity Network,Cultural,26,9,47,Riyadh,Central,4,2,72,Ministry of Culture,Refugees,Relief,2003,Unaccredited,8052,19,6,9847,83,No
Initiative Empowerment Mission,Development,28,24,224,Dammam,Central,19,1,86,Ministry of Culture,Patients,Community Engagement,2021,Pending,7414,67,76,1334,92,No
Foundation Development for Development,Social Services,40,12,42,Riyadh,Southern,6,18,63,Ministry of Human Resources and Social Development,Youth,Awareness,2014,Accredited,6218,97,98,728,84,No
Association Prosperity for Communities,Charitable,50,12,197,Tabuk,Western,11,15,92,"Ministry of Environment, Water and Agriculture",Students,Capacity Building,2008,Unaccredited,8390,29,29,6781,88,Yes
Center Growth Mission,Environmental,35,10,91,Makkah,Eastern,8,7,70,Ministry of Human Resources and Social Development,Patients,Capacity Building,2012,Unaccredited,3424,27,89,9447,71,Yes
Center Growth Network,Environmental,44,2,21,Hail,Western,3,11,70,Ministry of Human Resources and Social Development,Youth,Relief,1993,Accredited,5543,86,55,5258,95,No
Society Prosperity for Youth,Social Services,4,4,125,Makkah,Southern,16,8,79,Ministry of Communications and Information Technology,Elderly,Capacity Building,1990,Unaccredited,960,82,87,8555,85,No
Association Development Group,Educational,34,16,245,Tabuk,Central,11,3,97,Ministry of Culture,Patients,Community Engagement,2013,Pending,9031,33,51,8633,95,No
Center Unity for Communities,Cultural,14,22,242,Abha,Western,13,11,73,Ministry of Culture,Refugees,Awareness,1990,Accredited,5241,18,53,4779,85,No
Center Progress Mission,Youth,37,7,280,Riyadh,Northern,5,19,83,Ministry of Culture,Families,Community Engagement,1996,Unaccredited,3535,38,62,826,62,Yes
Foundation Innovation Network,Technology,4,14,36,Taif,Southern,11,5,67,Ministry of Health,Refugees,Capacity Building,1990,Unaccredited,4352,53,50,2045,88,Yes
Initiative Prosperity Initiative,Social Services,7,22,191,Tabuk,Northern,2,17,96,"Ministry of Environment, Water and Agriculture",Disabled,Relief,1992,Unaccredited,2090,20,59,3873,62,No
Initiative Unity for Youth,Youth,10,19,90,Jeddah,Western,7,20,98,Ministry of Municipal and Rural Affairs,Job Seekers,Capacity Building,2003,Unaccredited,4171,100,44,6083,99,Yes
Association Hope Network,Educational,48,22,72,Taif,Western,13,4,78,Ministry of Economy and Planning,Orphans,Training,2007,Pending,4224,70,89,140,73,Yes
Association Innovation for Communities,Cultural,26,12,213,Abha,Southern,1,7,87,"Ministry of Environment, Water and Agriculture",Elderly,Advocacy,2006,Pending,1270,68,66,9009,67,No
Foundation Empowerment for Youth,Cultural,10,12,114,Abha,Southern,6,20,97,Ministry of Education,Elderly,Capacity Building,1992,Pending,1380,28,50,9372,70,No
Initiative Prosperity for Development,Health,9,10,140,Najran,Central,4,19,66,Ministry of Human Resources and Social Development,Disabled,Relief,1994,Pending,1273,68,21,3275,92,No
Initiative Compassion Initiative,Youth,10,1,284,Medina,Central,10,1,81,Ministry of Education,Families,Advocacy,2014,Unaccredited,4339,48,76,1564,78,No
Foundation Prosperity Mission,Social Services,32,28,89,Tabuk,Western,5,16,80,Ministry of Culture,Orphans,Relief,2002,Unaccredited,8263,81,94,3920,100,No
Initiative Growth for Development,Youth,43,28,11,Medina,Northern,20,11,64,Ministry of Health,Disabled,Training,2001,Unaccredited,4994,29,14,4091,71,Yes
Association Compassion for Communities,Educational,47,13,83,Hail,Southern,6,2,78,Ministry of Health,Refugees,Awareness,1999,Accredited,6034,79,67,2129,75,Yes
Foundation Prosperity for Change,Youth,32,17,233,Taif,Central,10,4,90,Ministry of Economy and Planning,Students,Awareness,2020,Accredited,5188,25,9,4063,72,No
Foundation Progress for Change,Environmental,12,21,291,Abha,Southern,1,0,73,Ministry of Human Resources and Social Development,Disabled,Training,2007,Unaccredited,9112,41,8,1426,84,Yes
Foundation Progress for Change,Youth,31,15,54,Makkah,Eastern,10,7,91,Ministry of Economy and Planning,Disabled,Relief,2008,Pending,9674,87,94,9542,67,Yes
Foundation Progress Group,Youth,13,18,33,Medina,Southern,12,14,83,Ministry of Education,Elderly,Advocacy,2018,Unaccredited,6793,49,73,1226,81,No
Foundation Empowerment for Change,Charitable,43,29,10,Dammam,Northern,18,7,92,Ministry of Culture,Disabled,Relief,2016,Pending,8071,86,2,5223,93,No
Foundation Prosperity for Change,Social Services,33,13,193,Dammam,Western,4,10,94,Ministry of Education,Students,Advocacy,2016,Unaccredited,9206,24,87,3099,86,No
Center Harmony Network,Cultural,15,29,233,Abha,Central,19,3,66,Ministry of Municipal and Rural Affairs,Patients,Relief,1998,Accredited,762,28,1,9766,65,Yes
Society Empowerment Initiative,Technology,29,16,232,Medina,Eastern,4,9,70,Ministry of Health,Disabled,Relief,1999,Pending,1021,52,11,7382,76,Yes
Society Care Network,Youth,3,27,134,Taif,Southern,15,20,91,Ministry of Economy and Planning,Students,Awareness,2003,Pending,8404,48,91,7697,79,No
Initiative Hope Mission,Charitable,28,9,39,Tabuk,Eastern,5,12,96,Ministry of Education,Families,Relief,1991,Accredited,1561,41,7,5061,98,No
Society Care for Communities,Youth,38,29,218,Medina,Eastern,9,10,67,"Ministry of Environment, Water and Agriculture",Refugees,Awareness,2002,Pending,1777,29,18,1079,79,Yes
Society Harmony Network,Educational,10,9,195,Makkah,Western,11,7,86,Ministry of Human Resources and Social Development,Refugees,Relief,1992,Pending,7427,17,59,7567,87,Yes
Foundation Growth for Development,Charitable,3,18,276,Najran,Northern,8,13,76,Ministry of Municipal and Rural Affairs,Orphans,Research,1999,Accredited,3752,97,8,5097,73,No
Society Hope for Youth,Social Services,3,19,85,Hail,Northern,9,17,65,Ministry of Communications and Information Technology,Elderly,Research,2016,Unaccredited,8361,73,12,5845,98,No
Society Care Group,Environmental,23,2,79,Riyadh,Central,5,8,83,Ministry of Municipal and Rural Affairs,Elderly,Research,2022,Pending,7560,63,58,4335,99,No
Center Growth for Communities,Educational,23,22,276,Najran,Eastern,8,9,95,Ministry of Education,Job Seekers,Research,2016,Accredited,7259,3,23,1728,92,Yes
Foundation Unity Initiative,Health,39,6,232,Riyadh,Southern,5,18,67,"Ministry of Environment, Water and Agriculture",Disabled,Training,2020,Unaccredited,6462,48,28,3950,83,No
Association Light for Change,Environmental,31,8,235,Dammam,Central,11,11,69,Ministry of Municipal and Rural Affairs,Students,Capacity Building,2005,Unaccredited,7990,23,93,6526,63,No
Society Development Initiative,Educational,25,5,271,Hail,Southern,11,15,62,Ministry of Human Resources and Social Development,Job Seekers,Capacity Building,1992,Accredited,4090,96,82,3118,72,No
Society Growth for Development,Charitable,3,14,163,Jeddah,Northern,5,12,69,Ministry of Education,Families,Community Engagement,2001,Unaccredited,6322,69,84,7139,84,No
Association Hope Network,Health,2,20,200,Abha,Northern,18,18,71,"Ministry of Environment, Water and Agriculture",Disabled,Capacity Building,1995,Accredited,4017,70,90,3511,65,No
Initiative Empowerment for Youth,Health,32,8,277,Tabuk,Eastern,15,17,62,Ministry of Human Resources and Social Development,Patients,Capacity Building,2011,Accredited,1611,33,91,1796,66,Yes
Society Hope for Communities,Development,39,22,96,Tabuk,Eastern,2,2,80,Ministry of Health,Orphans,Capacity Building,2019,Pending,5343,59,62,4415,89,Yes
Association Progress for Change,Social Services,23,27,283,Makkah,Eastern,20,9,61,Ministry of Culture,Refugees,Advocacy,2010,Pending,5359,77,10,4794,81,Yes
Foundation Unity Initiative,Development,9,30,204,Tabuk,Eastern,14,15,90,Ministry of Communications and Information Technology,Disabled,Community Engagement,2012,Unaccredited,4070,77,84,2495,60,No
Society Care for Youth,Environmental,8,18,90,Medina,Northern,13,20,67,Ministry of Communications and Information Technology,Patients,Community Engagement,1998,Pending,7580,53,82,472,92,No
Initiative Light Mission,Technology,23,28,96,Dammam,Central,16,20,66,Ministry of Human Resources and Social Development,Job Seekers,Advocacy,2021,Unaccredited,1009,30,42,5693,93,No
Initiative Development Group,Charitable,25,18,134,Dammam,Southern,14,4,71,Ministry of Health,Orphans,Training,2007,Accredited,4856,21,31,7269,73,No
Foundation Care for Change,Environmental,32,23,183,Hail,Southern,6,11,61,"Ministry of Environment, Water and Agriculture",Students,Community Engagement,2013,Accredited,1717,39,84,4310,78,Yes
Society Progress for Change,Charitable,35,18,25,Dammam,Eastern,8,15,60,Ministry of Communications and Information Technology,Job Seekers,Training,1997,Unaccredited,7826,38,21,8724,70,Yes
Center Growth for Youth,Technology,42,28,42,Jeddah,Eastern,9,6,76,Ministry of Communications and Information Technology,Orphans,Capacity Building,2010,Accredited,2694,54,1,8999,66,Yes
Center Harmony for Communities,Development,23,2,128,Jeddah,Eastern,14,7,73,Ministry of Municipal and Rural Affairs,Youth,Capacity Building,1990,Pending,3750,33,12,7305,91,Yes
Society Hope for Youth,Charitable,15,15,81,Makkah,Northern,1,19,99,Ministry of Economy and Planning,Patients,Relief,1998,Accredited,2982,70,99,9480,91,No
Initiative Empowerment for Youth,Development,13,11,256,Najran,Southern,1,16,61,Ministry of Communications and Information Technology,Families,Advocacy,2005,Pending,6591,83,45,7824,76,No
Center Harmony Initiative,Cultural,17,24,145,Makkah,Southern,2,10,73,Ministry of Health,Job Seekers,Research,2015,Accredited,806,98,45,8494,60,Yes
Initiative Growth Mission,Cultural,33,26,253,Makkah,Western,8,15,76,Ministry of Culture,Job Seekers,Training,1991,Accredited,1249,71,13,2062,74,Yes
Foundation Innovation Initiative,Development,42,3,124,Hail,Southern,2,4,75,Ministry of Municipal and Rural Affairs,Families,Training,1990,Pending,5065,98,93,9468,87,Yes
Initiative Empowerment Group,Health,5,1,171,Abha,Southern,15,7,60,"Ministry of Environment, Water and Agriculture",Orphans,Advocacy,2003,Unaccredited,8068,7,64,6946,68,No
Initiative Empowerment for Development,Cultural,4,17,210,Tabuk,Northern,3,14,83,Ministry of Human Resources and Social Development,Families,Capacity Building,2006,Unaccredited,6419,57,55,7160,88,Yes
Association Compassion Network,Development,43,21,62,Dammam,Northern,13,2,94,"Ministry of Environment, Water and Agriculture",Orphans,Capacity Building,2004,Accredited,4652,100,35,5563,84,Yes
Foundation Growth Initiative,Educational,8,26,238,Medina,Central,1,0,78,Ministry of Municipal and Rural Affairs,Orphans,Awareness,1996,Pending,3035,94,73,3356,96,No
Initiative Harmony Mission,Technology,14,22,223,Taif,Western,14,13,60,Ministry of Human Resources and Social Development,Patients,Awareness,1994,Accredited,4200,3,82,6998,71,No
Association Growth for Youth,Cultural,44,14,167,Tabuk,Central,20,5,64,Ministry of Health,Refugees,Research,1991,Accredited,7902,23,73,2104,77,No
Society Hope for Development,Technology,18,15,75,Taif,Eastern,19,17,64,Ministry of Municipal and Rural Affairs,Refugees,Capacity Building,1991,Pending,4126,29,82,874,77,No
Initiative Compassion Network,Cultural,12,1,82,Riyadh,Central,19,1,88,Ministry of Education,Job Seekers,Capacity Building,2007,Pending,1443,94,20,8476,87,Yes
Center Care for Change,Social Services,44,23,69,Taif,Northern,3,18,61,"Ministry of Environment, Water and Agriculture",Students,Capacity Building,2012,Pending,2681,73,72,2072,70,Yes
Society Harmony Network,Social Services,3,13,194,Riyadh,Western,8,1,94,"Ministry of Environment, Water and Agriculture",Elderly,Training,2018,Pending,8085,24,87,1170,60,No
Center Prosperity for Communities,Environmental,35,30,20,Makkah,Central,3,3,79,Ministry of Communications and Information Technology,Refugees,Awareness,1994,Pending,7313,29,52,2836,92,Yes
Society Growth for Development,Youth,27,19,107,Riyadh,Western,17,20,73,Ministry of Human Resources and Social Development,Patients,Relief,2022,Unaccredited,2408,30,40,3941,81,Yes
Association Unity for Development,Social Services,2,20,92,Hail,Eastern,11,9,91,Ministry of Culture,Youth,Community Engagement,2005,Unaccredited,9470,40,5,5750,67,Yes
Foundation Harmony for Communities,Environmental,23,6,151,Jeddah,Northern,1,6,76,Ministry of Communications and Information Technology,Refugees,Community Engagement,2013,Pending,338,70,98,9317,86,Yes
Center Unity for Youth,Development,2,29,26,Hail,Eastern,5,12,68,Ministry of Human Resources and Social Development,Disabled,Research,1993,Accredited,2204,66,89,976,74,Yes
Society Development Group,Youth,47,21,198,Jeddah,Central,7,19,66,Ministry of Human Resources and Social Development,Families,Research,2013,Accredited,7652,13,85,7195,92,No
Society Empowerment for Youth,Charitable,20,5,110,Dammam,Eastern,8,17,60,Ministry of Human Resources and Social Development,Orphans,Awareness,2021,Pending,5832,84,2,5909,84,No
Association Hope for Youth,Development,6,30,233,Riyadh,Northern,11,7,90,Ministry of Culture,Youth,Community Engagement,1998,Pending,5219,70,29,4136,84,No
Initiative Unity for Youth,Charitable,6,21,32,Makkah,Western,13,8,95,Ministry of Human Resources and Social Development,Youth,Capacity Building,2011,Unaccredited,8956,96,71,8389,81,Yes
Association Compassion Mission,Charitable,8,27,202,Jeddah,Southern,10,20,80,Ministry of Health,Elderly,Awareness,1994,Unaccredited,9938,66,19,3646,68,Yes
Center Compassion Group,Cultural,11,11,47,Tabuk,Northern,9,0,74,Ministry of Economy and Planning,Elderly,Awareness,1994,Pending,2772,42,96,6722,99,No
Society Development for Development,Social Services,46,23,176,Jeddah,Southern,13,15,65,Ministry of Education,Elderly,Training,2015,Pending,5494,39,95,5504,60,No
Society Unity Mission,Technology,5,19,121,Tabuk,Southern,16,14,81,"Ministry of Environment, Water and Agriculture",Disabled,Advocacy,1999,Unaccredited,2020,4,62,3865,80,No
Society Innovation for Change,Development,34,4,284,Dammam,Western,12,4,80,Ministry of Economy and Planning,Youth,Advocacy,2016,Pending,8141,30,66,1227,61,Yes
Society Prosperity for Development,Health,45,5,284,Najran,Western,13,9,60,Ministry of Economy and Planning,Students,Advocacy,1993,Pending,2877,44,81,3020,90,Yes
Initiative Empowerment for Development,Charitable,38,18,259,Najran,Western,6,0,80,Ministry of Culture,Families,Training,2006,Pending,2498,20,55,648,84,Yes
Association Progress Mission,Educational,10,24,179,Najran,Central,19,18,62,Ministry of Communications and Information Technology,Refugees,Relief,2016,Unaccredited,8815,4,20,5433,100,Yes
Initiative Empowerment Network,Environmental,33,17,154,Hail,Central,2,18,72,Ministry of Culture,Refugees,Capacity Building,2005,Unaccredited,3862,12,71,4986,78,Yes
Foundation Hope for Communities,Cultural,17,26,222,Jeddah,Central,7,2,71,Ministry of Economy and Planning,Youth,Awareness,2020,Accredited,3237,25,87,993,81,No
Center Progress Initiative,Health,19,3,56,Tabuk,Southern,3,5,82,Ministry of Economy and Planning,Disabled,Capacity Building,2000,Accredited,9164,59,19,532,60,No
Center Innovation for Change,Youth,28,21,60,Tabuk,Eastern,19,4,73,Ministry of Culture,Youth,Community Engagement,2018,Unaccredited,8089,35,54,3261,99,Yes
Center Hope Mission,Technology,25,9,163,Tabuk,Northern,4,0,81,"Ministry of Environment, Water and Agriculture",Refugees,Advocacy,1992,Unaccredited,5649,38,16,5967,71,No
Association Hope Initiative,Environmental,9,14,272,Tabuk,Central,3,19,86,Ministry of Economy and Planning,Job Seekers,Training,1999,Pending,8922,25,6,500,86,Yes
Association Progress for Development,Cultural,44,14,99,Medina,Southern,16,19,78,Ministry of Human Resources and Social Development,Families,Community Engagement,1997,Pending,8201,40,27,4893,98,Yes
Initiative Unity Group,Social Services,33,10,211,Jeddah,Eastern,18,17,76,"Ministry of Environment, Water and Agriculture",Youth,Research,2015,Pending,7417,66,3,3886,88,No
Society Progress Mission,Social Services,21,16,86,Hail,Northern,11,17,99,"Ministry of Environment, Water and Agriculture",Students,Relief,2022,Accredited,1063,35,15,3334,87,Yes
Foundation Unity for Youth,Social Services,40,21,32,Dammam,Northern,20,4,88,Ministry of Culture,Orphans,Advocacy,1992,Unaccredited,5065,90,21,8906,73,No
Association Growth Network,Health,10,19,77,Medina,Central,2,14,92,Ministry of Health,Patients,Community Engagement,2011,Unaccredited,1712,84,88,1198,80,Yes
Center Harmony Initiative,Social Services,30,24,42,Dammam,Southern,7,4,64,Ministry of Education,Students,Advocacy,1991,Unaccredited,7325,62,22,4870,75,Yes
Foundation Harmony Group,Health,3,7,151,Najran,Southern,7,7,61,"Ministry of Environment, Water and Agriculture",Youth,Awareness,1991,Unaccredited,7992,91,59,8599,60,Yes
Initiative Progress for Change,Charitable,11,24,261,Jeddah,Southern,10,13,86,Ministry of Culture,Youth,Awareness,2010,Unaccredited,2522,26,58,3916,85,Yes
Center Development for Change,Environmental,16,12,155,Najran,Southern,4,16,73,Ministry of Education,Families,Capacity Building,2012,Unaccredited,7130,98,27,9514,61,Yes
Initiative Harmony for Communities,Environmental,46,19,94,Najran,Southern,7,9,77,Ministry of Health,Elderly,Community Engagement,2008,Pending,3051,55,22,1025,70,Yes
Society Prosperity Group,Development,17,29,196,Riyadh,Southern,8,18,61,Ministry of Human Resources and Social Development,Refugees,Training,2002,Unaccredited,5972,64,83,8196,81,Yes
Foundation Development Group,Charitable,21,16,153,Medina,Eastern,2,20,72,Ministry of Communications and Information Technology,Patients,Awareness,1997,Pending,4708,82,97,9259,78,Yes
Foundation Prosperity Mission,Health,38,5,16,Hail,Western,11,18,60,Ministry of Economy and Planning,Youth,Advocacy,2018,Pending,7500,41,82,8444,63,Yes
Initiative Compassion Initiative,Charitable,42,19,115,Jeddah,Central,8,19,83,Ministry of Education,Disabled,Awareness,2011,Pending,8599,50,78,2395,92,No
Society Care for Development,Development,13,28,32,Abha,Central,9,19,93,Ministry of Municipal and Rural Affairs,Families,Research,1990,Pending,4153,4,92,4423,86,No
Foundation Progress Mission,Youth,36,2,92,Abha,Western,16,13,72,Ministry of Human Resources and Social Development,Families,Relief,1992,Accredited,9906,59,61,5922,83,No
Foundation Growth for Youth,Youth,50,6,138,Riyadh,Western,10,13,84,Ministry of Economy and Planning,Disabled,Training,2008,Accredited,731,74,89,2250,63,No
Association Development Initiative,Development,31,6,75,Taif,Southern,11,11,60,Ministry of Education,Patients,Capacity Building,2010,Pending,625,84,4,4029,77,No
Foundation Innovation Initiative,Health,32,25,59,Makkah,Southern,1,16,91,Ministry of Communications and Information Technology,Youth,Community Engagement,2021,Unaccredited,8261,41,64,6034,89,No
Initiative Care for Development,Environmental,14,25,281,Tabuk,Central,15,7,97,Ministry of Human Resources and Social Development,Orphans,Awareness,2017,Accredited,4628,36,83,145,90,Yes
Society Harmony for Change,Environmental,8,15,184,Najran,Western,10,7,72,Ministry of Health,Youth,Awareness,1991,Accredited,5023,35,9,7187,69,No
Society Prosperity Initiative,Social Services,25,11,277,Medina,Northern,13,9,89,Ministry of Education,Job Seekers,Training,2012,Unaccredited,7871,84,70,7509,76,Yes
Association Prosperity for Development,Charitable,50,17,236,Tabuk,Northern,5,4,85,Ministry of Municipal and Rural Affairs,Youth,Training,2021,Accredited,5095,54,18,9478,87,No
Center Innovation Network,Health,35,1,76,Riyadh,Southern,17,7,95,Ministry of Culture,Students,Awareness,1996,Accredited,5695,81,70,3291,74,No
Initiative Progress Mission,Environmental,22,23,152,Makkah,Southern,2,0,79,Ministry of Education,Refugees,Relief,2014,Pending,7243,44,13,8671,80,Yes
Society Development Initiative,Technology,31,24,54,Makkah,Eastern,6,18,69,Ministry of Human Resources and Social Development,Families,Capacity Building,2001,Pending,696,30,26,1500,75,No
Society Innovation for Communities,Social Services,22,6,268,Najran,Northern,14,6,69,Ministry of Municipal and Rural Affairs,Students,Training,2022,Accredited,2410,46,3,8519,73,Yes
Foundation Light for Youth,Technology,28,10,210,Tabuk,Central,11,20,96,Ministry of Culture,Elderly,Research,1999,Unaccredited,2053,51,73,2722,79,No
Foundation Empowerment for Youth,Youth,11,16,266,Tabuk,Southern,16,11,65,"Ministry of Environment, Water and Agriculture",Elderly,Capacity Building,2014,Pending,2326,39,96,5942,84,Yes
Association Care for Change,Technology,9,18,39,Jeddah,Northern,13,11,85,Ministry of Education,Refugees,Training,1998,Accredited,6334,43,44,4151,72,Yes
Society Hope for Youth,Environmental,15,27,87,Tabuk,Eastern,9,15,73,"Ministry of Environment, Water and Agriculture",Orphans,Community Engagement,1991,Accredited,970,60,92,7387,78,No
Center Innovation Initiative,Charitable,24,26,20,Najran,Southern,2,16,84,Ministry of Culture,Elderly,Research,2018,Accredited,2532,49,31,5522,97,Yes
Center Harmony for Change,Social Services,18,6,117,Hail,Eastern,9,16,71,Ministry of Culture,Students,Relief,1996,Unaccredited,7234,24,32,7284,96,No
